event_id,company_group_id,department,department_record_id,pan,gstin,event_type,event_date,event_status,remarks
EVT-00001,CG-0002,Shops and Establishments,SHOPS-0002-1,ACHNT1002F,29ACHNT1002F1Z2,closure_application,2026-04-27,submitted,Matched synthetic department event with identifier evidence.
EVT-00002,CG-0003,Shops and Establishments,SHOPS-0003-1,ADIOU1003G,29ADIOU1003G1Z3,license_cancelled,2026-04-24,completed,Matched synthetic department event with identifier evidence.
EVT-00003,CG-0004,Shops and Establishments,SHOPS-0004-1,AEJPV1004H,29AEJPV1004H1Z4,renewal,2026-04-21,completed,Matched synthetic department event with identifier evidence.
EVT-00004,CG-0005,Shops and Establishments,SHOPS-0005-1,AFKQW1005I,29AFKQW1005I1Z5,compliance_filing,2026-04-18,completed,Matched synthetic department event with identifier evidence.
EVT-00005,CG-0006,Shops and Establishments,SHOPS-0006-1,AGLRX1006J,,inspection,2026-04-15,completed,GSTIN missing in source event; joined using PAN or local department reference.
EVT-00006,CG-0007,Shops and Establishments,SHOPS-0007-1,,,electricity_usage,2026-04-12,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00007,CG-0008,Shops and Establishments,SHOPS-0008-1,AINTZ1008L,,water_usage,2026-04-09,completed,GSTIN missing in source event; joined using PAN or local department reference.
EVT-00008,CG-0009,Shops and Establishments,SHOPS-0009-1,AJOUA1009M,29AJOUA1009M1Z9,license_cancelled,2026-04-06,completed,Matched synthetic department event with identifier evidence.
EVT-00009,CG-0010,Labour,LABOUR-0010-3,AKPVB1010N,29AKPVB1010N1Z0,license_update,2026-04-03,completed,Matched synthetic department event with identifier evidence.
EVT-00010,CG-0012,Shops and Establishments,SHOPS-0012-1,AMRXD1012P,,closure_application,2026-03-31,submitted,GSTIN missing in source event; joined using PAN or local department reference.
EVT-00011,CG-0013,Labour,LABOUR-0013-3,ANSYE1013Q,29ANSYE1013Q1Z3,license_cancelled,2026-03-28,completed,Matched synthetic department event with identifier evidence.
EVT-00012,CG-0015,Factories,FACTORIES-0015-2,,29APUAG1015S1Z5,electricity_usage,2026-03-25,completed,PAN missing in source event; joined using GSTIN or local department reference.
EVT-00013,CG-0016,Labour,LABOUR-0016-3,,,compliance_filing,2026-03-22,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00014,CG-0018,Factories,FACTORIES-0018-2,ASXDJ1018V,,pollution_consent,2026-03-19,completed,GSTIN missing in source event; joined using PAN or local department reference.
EVT-00015,CG-0020,Shops and Establishments,SHOPS-0020-1,AUZFL1020X,29AUZFL1020X1Z0,electricity_usage,2026-03-16,completed,Matched synthetic department event with identifier evidence.
EVT-00016,CG-0021,Factories,FACTORIES-0021-2,AVAGM1021Y,29AVAGM1021Y1Z1,closure_application,2026-03-13,submitted,Matched synthetic department event with identifier evidence.
EVT-00017,CG-0023,Shops and Establishments,SHOPS-0023-1,AXCIO1023A,29AXCIO1023A1Z3,pollution_consent,2026-03-10,completed,Matched synthetic department event with identifier evidence.
EVT-00018,CG-0024,Labour,LABOUR-0024-3,,,license_update,2026-03-07,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00019,CG-0026,Shops and Establishments,SHOPS-0026-1,BAFLR1026D,29BAFLR1026D1Z6,closure_application,2026-03-04,submitted,Matched synthetic department event with identifier evidence.
EVT-00020,CG-0027,Labour,LABOUR-0027-3,BBGMS1027E,29BBGMS1027E1Z7,license_cancelled,2026-03-01,completed,Matched synthetic department event with identifier evidence.
EVT-00021,CG-0029,Factories,FACTORIES-0029-2,,,electricity_usage,2026-02-26,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00022,CG-0030,KSPCB,KSPCB-0030-4,,,renewal,2026-02-23,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00023,CG-0032,Factories,FACTORIES-0032-2,,29BGLRX1032J1Z2,pollution_consent,2026-02-20,completed,PAN missing in source event; joined using GSTIN or local department reference.
EVT-00024,CG-0034,Shops and Establishments,SHOPS-0034-1,BINTZ1034L,29BINTZ1034L1Z4,license_cancelled,2026-02-17,completed,Matched synthetic department event with identifier evidence.
EVT-00025,CG-0035,Labour,LABOUR-0035-3,,29BJOUA1035M1Z5,water_usage,2026-02-14,completed,PAN missing in source event; joined using GSTIN or local department reference.
EVT-00026,CG-0037,Shops and Establishments,SHOPS-0037-1,BLQWC1037O,29BLQWC1037O1Z7,pollution_consent,2026-02-11,completed,Matched synthetic department event with identifier evidence.
EVT-00027,CG-0038,Labour,LABOUR-0038-3,BMRXD1038P,29BMRXD1038P1Z8,license_update,2026-02-08,completed,Matched synthetic department event with identifier evidence.
EVT-00028,CG-0040,Factories,FACTORIES-0040-2,,29BOTZF1040R1Z0,compliance_filing,2026-02-05,completed,PAN missing in source event; joined using GSTIN or local department reference.
EVT-00029,CG-0041,Labour,LABOUR-0041-3,BPUAG1041S,29BPUAG1041S1Z1,license_cancelled,2026-02-02,completed,Matched synthetic department event with identifier evidence.
EVT-00030,CG-0043,Factories,FACTORIES-0043-2,,,electricity_usage,2026-01-30,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00031,CG-0045,Shops and Establishments,SHOPS-0045-1,BTYEK1045W,29BTYEK1045W1Z5,compliance_filing,2026-01-27,completed,Matched synthetic department event with identifier evidence.
EVT-00032,CG-0046,Factories,FACTORIES-0046-2,BUZFL1046X,29BUZFL1046X1Z6,pollution_consent,2026-01-24,completed,Matched synthetic department event with identifier evidence.
EVT-00033,CG-0048,Shops and Establishments,SHOPS-0048-1,BWBHN1048Z,,electricity_usage,2026-01-21,completed,GSTIN missing in source event; joined using PAN or local department reference.
EVT-00034,CG-0049,BESCOM,BESCOM-0049-3,,,water_usage,2026-01-18,pending_review,Source event has no PAN/GSTIN; keep visible for UBID review instead of dropping.
EVT-00035,CG-0051,Shops and Establishments,SHOPS-0051-1,BZEKQ1051C,29BZEKQ1051C1Z1,pollution_consent,2026-01-15,completed,Matched synthetic department event with identifier evidence.
